year,month,manufacturer,value
2024,1,重庆望江摩托车制造有限公司,5775.0
2024,1,浙江森铃摩托车有限公司,5591.0
2024,1,济南轻骑摩托车有限公司,5023.0
2024,1,福建省晋江市三力机车有限公司,4466.0
2024,1,浙江吉铭实业有限公司,4162.0
2024,1,浙江天本车业有限公司,3430.0
2024,1,宁波市龙嘉动力科技有限公司,3385.0
2024,1,济南大隆机车工业有限公司,3354.0
2024,1,广州福羊科技有限公司,3250.0
2024,1,金翌车业有限公司,3000.0
2024,1,江苏林海动力机械集团有限公司,3000.0
2024,1,重庆银钢科技(集团)有限公司,2836.0
2024,1,重庆光宇摩托车制造有限公司,2835.0
2024,1,重庆劲扬摩托车工业有限公司,1981.0
2024,1,重庆新感觉摩托车有限公司,1809.0
2024,1,杭州土星动力科技有限公司,1430.0
2024,1,重庆嘉陵工业有限公司,1150.0
2024,1,西藏新珠峰摩托车有限公司,1010.0
2024,1,广州番禺豪剑摩托车工业有限公司,822.0
2024,1,浙江华洋赛车股份有限公司,546.0
2024,1,济南轻骑铃木摩托车有限公司,480.0
2024,1,江苏林芝山阳集团有限公司,468.0
2024,1,立峰集团有限公司,463.0
2024,1,重庆万虎机电有限责任公司,442.0
2024,1,浙江日雅摩托车有限公司,373.0
2024,1,慈溪金轮机车制造有限公司,100.0
2024,1,金城集团有限公司,67.0
2024,1,宁波东方凌云车辆制造有限公司,48.0
2024,1,广东大联统摩托车有限公司,0.0
2024,1,增城市东阳摩托车实业有限公司,0.0
2024,1,广州五羊摩托有限公司,0.0
2024,1,康超集团广州摩托车制造有限公司,0.0
2024,2,重庆隆鑫机车有限公司,60868.0
2024,2,江门市大长江集团有限公司,38057.0
2024,2,重庆银翔摩托车集团有限公司,48446.0
2024,2,广东大冶摩托车技术有限公司,24827.0
2024,2,宗申产业集团有限公司,30731.0
2024,2,广州豪进摩托车股份有限公司,27987.0
2024,2,新大洲本田摩托(苏州)有限公司,23028.0
2024,2,广州天马集团天马摩托车有限公司,11311.0
2024,2,广州三雅摩托车有限公司,18360.0
