year,month,indicator,scope,category,type,value
2016,6,生产,二轮,踏板式,车型,298472.0
2016,6,生产,二轮,骑式式,车型,679979.0
2016,6,生产,总计,总计,汇总,1399272.0
2016,6,销售,三轮,125ml<排量≤150ml,排量,88761.0
2016,6,销售,三轮,150ml<排量≤250ml,排量,79791.0
2016,6,销售,三轮,250ml<排量≤400ml,排量,1256.0
2016,6,销售,三轮,400ml<排量≤750ml,排量,734.0
2016,6,销售,三轮,50ml<排量≤100ml,排量,3691.0
2016,6,销售,三轮,排量>750ml,排量,692.0
2016,6,销售,三轮,排量≤50ml,排量,0.0
2016,6,销售,三轮,电动摩托车,排量,0.0
2016,6,销售,三轮,三轮,汇总,174925.0
2016,6,销售,三轮,正三轮,车型,174842.0
2016,6,销售,三轮,边三轮,车型,83.0
2016,6,销售,二轮,100ml<排量≤110ml,排量,204508.0
2016,6,销售,二轮,110ml<排量≤125ml,排量,491028.0
2016,6,销售,二轮,125ml<排量≤150ml,排量,273752.0
2016,6,销售,二轮,150ml<排量≤250ml,排量,65973.0
2016,6,销售,二轮,250ml<排量≤400ml,排量,3502.0
2016,6,销售,二轮,400ml<排量≤750ml,排量,1188.0
2016,6,销售,二轮,50ml<排量≤60ml,排量,0.0
2016,6,销售,二轮,60ml<排量≤70ml,排量,7475.0
2016,6,销售,二轮,70ml<排量≤80ml,排量,2338.0
2016,6,销售,二轮,80ml<排量≤90ml,排量,6049.0
2016,6,销售,二轮,90ml<排量≤100ml,排量,70610.0
2016,6,销售,二轮,排量>750ml,排量,3.0
2016,6,销售,二轮,排量≤50ml,排量,58522.0
2016,6,销售,二轮,电动摩托车,排量,12037.0
2016,6,销售,二轮,二轮,汇总,1196985.0
2016,6,销售,二轮,其它式,车型,0.0
2016,6,销售,二轮,弯梁式,车型,235087.0
2016,6,销售,二轮,踏板式,车型,301476.0
2016,6,销售,二轮,骑式式,车型,660422.0
2016,6,销售,总计,总计,汇总,1371910.0
2016,7,生产,三轮,125ml<排量≤150ml,排量,82877.0
2016,7,生产,三轮,150ml<排量≤250ml,排量,71676.0
2016,7,生产,三轮,250ml<排量≤400ml,排量,1146.0
2016,7,生产,三轮,400ml<排量≤750ml,排量,795.0
2016,7,生产,三轮,50ml<排量≤100ml,排量,5008.0
2016,7,生产,三轮,排量>750ml,排量,433.0
